-1,-1,UNK,Unknown Airline,1900-01-01 00:00:00.0000000,1900-01-01 00:00:00.0000000
1,1,AA,"American Airlines Inc. ",2025-12-18 16:38:28.7200000,2025-12-18 16:38:28.7200000
2,2,AS,"Alaska Airlines Inc. ",2025-12-18 16:38:28.7200000,2025-12-18 16:38:28.7200000
3,3,B6,"JetBlue Airways ",2025-12-18 16:38:28.7200000,2025-12-18 16:38:28.7200000
4,4,DL,"Delta Air Lines Inc. ",2025-12-18 16:38:28.7200000,2025-12-18 16:38:28.7200000
5,5,EV,"Atlantic Southeast Airlines ",2025-12-18 16:38:28.7200000,2025-12-18 16:38:28.7200000
6,6,F9,"Frontier Airlines Inc. ",2025-12-18 16:38:28.7200000,2025-12-18 16:38:28.7200000
7,7,HA,"Hawaiian Airlines Inc. ",2025-12-18 16:38:28.7200000,2025-12-18 16:38:28.7200000
8,8,MQ,"American Eagle Airlines Inc. ",2025-12-18 16:38:28.7200000,2025-12-18 16:38:28.7200000
9,9,NK,"Spirit Air Lines ",2025-12-18 16:38:28.7200000,2025-12-18 16:38:28.7200000
10,10,OO,"Skywest Airlines Inc. ",2025-12-18 16:38:28.7200000,2025-12-18 16:38:28.7200000
11,11,UA,"United Air Lines Inc. ",2025-12-18 16:38:28.7233333,2025-12-18 16:38:28.7233333
12,12,US,"US Airways Inc. ",2025-12-18 16:38:28.7233333,2025-12-18 16:38:28.7233333
13,13,VX,"Virgin America ",2025-12-18 16:38:28.7233333,2025-12-18 16:38:28.7233333
14,14,WN,"Southwest Airlines Co. ",2025-12-18 16:38:28.7233333,2025-12-18 16:38:28.7233333
